,USGS-01434000,USGS-01531000,USGS-04235500,USGS-04236500
1925-07-31,3110.8887665971206,584.6296147384321,164.2377102336,0.0
1925-08-31,2307.2566603161604,398.81446740172805,177.74484605798403,0.0
1925-09-30,2961.4607671311364,361.40791305369606,176.21573634201602,0.0
1925-10-31,2622.7063313510403,1081.080569189376,139.63037054515203,0.0
1925-11-30,7842.067495188481,2554.4627310643205,210.59238810470404,0.0
1925-12-31,5800.13968743936,1914.3604138521603,329.01344055244806,0.0
1926-01-31,3501.9444180326404,1624.5374889830402,219.00249154252805,0.0
1926-02-28,4070.5466976000007,1506.7394071603203,202.18228466688004,0.0
1926-03-31,7976.5725165004815,6147.587395123201,362.54058691737606,0.0
1926-04-30,11408.857491916802,4673.412361543681,680.6237246853121,0.0
1926-05-31,3270.5957813760006,835.9133113958401,264.19617870336003,0.0
1926-06-30,1934.0406222336003,527.8260204748801,152.11809989222402,0.0
1926-07-31,953.2866405196802,216.62387642880003,134.53333815859202,0.0
1926-08-31,3026.7310985256963,708.2043332659201,80.87291386675201,0.0
1926-09-30,1887.0346568908803,688.6657091174401,107.74560128256002,0.0
1926-10-31,4465.849876024321,1352.7523953930242,204.44763239424003,0.0
1926-11-30,10177.357833630722,4741.93913029632,493.3361013258241,0.0
1926-12-31,3283.9046992742406,836.7628167936001,343.28513123481605,0.0
1927-01-31,4170.505166069761,2161.1417319014404,239.02250208307203,0.0
1927-02-28,5141.773004175361,3733.2930546892803,345.29562734284804,0.0
1927-03-31,15289.114980418562,7962.980430136321,664.7946074403841,0.0
1927-04-30,4525.032085401601,2967.3223543756803,288.15223092019204,0.0
1927-05-31,8110.794369346561,5324.133496227841,323.83145762611207,0.0
1927-06-30,2940.4213501132804,1006.5223121126402,219.22902631526404,0.0
1927-07-31,1380.2197365872642,361.63444782643205,136.00581418137602,0.0
1927-08-31,3205.7502026803204,434.38042672128006,153.61889276160002,0.0
1927-09-30,4800.271834275841,175.25296355788802,133.37234744832003,0.0
1927-10-31,11021.483030538242,2161.396583520768,125.30204616960002,0.0
1927-11-30,13550.177431203841,7752.869428423682,428.8020079426561,0.0
1927-12-31,13376.878330060803,7682.360480409601,925.6493982458882,0.0
1928-01-31,4628.954912394241,1416.8334192307202,364.15464717312005,0.0
1928-02-29,5822.793164712961,2372.3854074777605,283.31005015296006,0.0
1928-03-31,5902.929840568321,4539.6152613964805,299.16748424448,0.0
1928-04-30,11197.613816340481,5584.082147942401,365.28732103680005,0.0
1928-05-31,9744.393249239041,3680.9068884940807,303.72649654579203,0.0
1928-06-30,10090.425114593281,3899.2297757184006,193.57396330291203,0.0
